Case_No,Prompt,LLM,Ground Truth,Prediction
1,P1,GPT-4o,1,1
2,P1,GPT-4o,1,1
3,P1,GPT-4o,1,1
4,P1,GPT-4o,1,1
5,P1,GPT-4o,1,1
6,P1,GPT-4o,0,0
7,P1,GPT-4o,0,0
8,P1,GPT-4o,0,0
9,P1,GPT-4o,0,0
10,P1,GPT-4o,0,0
11,P1,GPT-4o,1,1
12,P1,GPT-4o,1,1
13,P1,GPT-4o,1,1
14,P1,GPT-4o,1,1
15,P1,GPT-4o,1,1
16,P1,GPT-4o,0,0
17,P1,GPT-4o,0,0
18,P1,GPT-4o,0,1
19,P1,GPT-4o,0,1
20,P1,GPT-4o,0,0
21,P1,GPT-4o,1,1
22,P1,GPT-4o,1,1
23,P1,GPT-4o,1,1
24,P1,GPT-4o,1,1
25,P1,GPT-4o,1,1
26,P1,GPT-4o,0,0
27,P1,GPT-4o,0,0
28,P1,GPT-4o,0,0
29,P1,GPT-4o,0,0
30,P1,GPT-4o,0,0
1,P1,DeepSeek,1,1
2,P1,DeepSeek,1,1
3,P1,DeepSeek,1,1
4,P1,DeepSeek,1,1
5,P1,DeepSeek,1,1
6,P1,DeepSeek,0,0
7,P1,DeepSeek,0,0
8,P1,DeepSeek,0,1
9,P1,DeepSeek,0,1
10,P1,DeepSeek,0,0
11,P1,DeepSeek,1,1
12,P1,DeepSeek,1,1
13,P1,DeepSeek,1,1
14,P1,DeepSeek,1,1
15,P1,DeepSeek,1,1
16,P1,DeepSeek,0,1
17,P1,DeepSeek,0,0
18,P1,DeepSeek,0,1
19,P1,DeepSeek,0,1
20,P1,DeepSeek,0,1
21,P1,DeepSeek,1,1
22,P1,DeepSeek,1,1
23,P1,DeepSeek,1,1
24,P1,DeepSeek,1,1
25,P1,DeepSeek,1,1
26,P1,DeepSeek,0,0
27,P1,DeepSeek,0,0
28,P1,DeepSeek,0,1
29,P1,DeepSeek,0,1
30,P1,DeepSeek,0,1
1,P4,GPT-4o,1,1
2,P4,GPT-4o,1,1
3,P4,GPT-4o,1,1
4,P4,GPT-4o,1,1
5,P4,GPT-4o,1,0
6,P4,GPT-4o,0,0
7,P4,GPT-4o,0,0
8,P4,GPT-4o,0,0
9,P4,GPT-4o,0,0
10,P4,GPT-4o,0,0
11,P4,GPT-4o,1,1
12,P4,GPT-4o,1,0
13,P4,GPT-4o,1,1
14,P4,GPT-4o,1,0
15,P4,GPT-4o,1,1
16,P4,GPT-4o,0,0
17,P4,GPT-4o,0,0
18,P4,GPT-4o,0,0
19,P4,GPT-4o,0,1
20,P4,GPT-4o,0,0
21,P4,GPT-4o,1,1
22,P4,GPT-4o,1,1
23,P4,GPT-4o,1,1
24,P4,GPT-4o,1,1
25,P4,GPT-4o,1,0
26,P4,GPT-4o,0,0
27,P4,GPT-4o,0,0
28,P4,GPT-4o,0,0
29,P4,GPT-4o,0,1
30,P4,GPT-4o,0,0
1,P4,DeepSeek,1,1
2,P4,DeepSeek,1,1
3,P4,DeepSeek,1,1
4,P4,DeepSeek,1,1
5,P4,DeepSeek,1,0
6,P4,DeepSeek,0,0
7,P4,DeepSeek,0,0
8,P4,DeepSeek,0,0
9,P4,DeepSeek,0,0
10,P4,DeepSeek,0,0
11,P4,DeepSeek,1,1
12,P4,DeepSeek,1,0
13,P4,DeepSeek,1,1
14,P4,DeepSeek,1,1
15,P4,DeepSeek,1,1
16,P4,DeepSeek,0,0
17,P4,DeepSeek,0,0
18,P4,DeepSeek,0,1
19,P4,DeepSeek,0,0
20,P4,DeepSeek,0,0
21,P4,DeepSeek,1,1
22,P4,DeepSeek,1,1
23,P4,DeepSeek,1,1
24,P4,DeepSeek,1,1
25,P4,DeepSeek,1,1
26,P4,DeepSeek,0,0
27,P4,DeepSeek,0,1
28,P4,DeepSeek,0,1
29,P4,DeepSeek,0,1
30,P4,DeepSeek,0,0
1,P5,GPT-4o,1,1
2,P5,GPT-4o,1,1
3,P5,GPT-4o,1,1
4,P5,GPT-4o,1,1
5,P5,GPT-4o,1,1
6,P5,GPT-4o,0,0
7,P5,GPT-4o,0,0
8,P5,GPT-4o,0,0
9,P5,GPT-4o,0,1
10,P5,GPT-4o,0,0
11,P5,GPT-4o,1,1
12,P5,GPT-4o,1,0
13,P5,GPT-4o,1,1
14,P5,GPT-4o,1,0
15,P5,GPT-4o,1,1
16,P5,GPT-4o,0,0
17,P5,GPT-4o,0,0
18,P5,GPT-4o,0,0
19,P5,GPT-4o,0,0
20,P5,GPT-4o,0,0
21,P5,GPT-4o,1,1
22,P5,GPT-4o,1,1
23,P5,GPT-4o,1,1
24,P5,GPT-4o,1,1
25,P5,GPT-4o,1,0
26,P5,GPT-4o,0,0
27,P5,GPT-4o,0,1
28,P5,GPT-4o,0,0
29,P5,GPT-4o,0,1
30,P5,GPT-4o,0,0
1,P5,DeepSeek,1,1
2,P5,DeepSeek,1,1
3,P5,DeepSeek,1,1
4,P5,DeepSeek,1,1
5,P5,DeepSeek,1,0
6,P5,DeepSeek,0,0
7,P5,DeepSeek,0,0
8,P5,DeepSeek,0,1
9,P5,DeepSeek,0,0
10,P5,DeepSeek,0,0
11,P5,DeepSeek,1,1
12,P5,DeepSeek,1,1
13,P5,DeepSeek,1,1
14,P5,DeepSeek,1,1
15,P5,DeepSeek,1,1
16,P5,DeepSeek,0,0
17,P5,DeepSeek,0,0
18,P5,DeepSeek,0,1
19,P5,DeepSeek,0,0
20,P5,DeepSeek,0,0
21,P5,DeepSeek,1,1
22,P5,DeepSeek,1,1
23,P5,DeepSeek,1,1
24,P5,DeepSeek,1,1
25,P5,DeepSeek,1,1
26,P5,DeepSeek,0,0
27,P5,DeepSeek,0,1
28,P5,DeepSeek,0,1
29,P5,DeepSeek,0,1
30,P5,DeepSeek,0,0
1,P6,GPT-4o,1,1
2,P6,GPT-4o,1,1
3,P6,GPT-4o,1,1
4,P6,GPT-4o,1,1
5,P6,GPT-4o,1,1
6,P6,GPT-4o,0,0
7,P6,GPT-4o,0,0
8,P6,GPT-4o,0,0
9,P6,GPT-4o,0,0
10,P6,GPT-4o,0,0
11,P6,GPT-4o,1,1
12,P6,GPT-4o,1,0
13,P6,GPT-4o,1,1
14,P6,GPT-4o,1,0
15,P6,GPT-4o,1,1
16,P6,GPT-4o,0,0
17,P6,GPT-4o,0,0
18,P6,GPT-4o,0,0
19,P6,GPT-4o,0,1
20,P6,GPT-4o,0,1
21,P6,GPT-4o,1,1
22,P6,GPT-4o,1,1
23,P6,GPT-4o,1,1
24,P6,GPT-4o,1,0
25,P6,GPT-4o,1,0
26,P6,GPT-4o,0,0
27,P6,GPT-4o,0,1
28,P6,GPT-4o,0,0
29,P6,GPT-4o,0,1
30,P6,GPT-4o,0,0
1,P6,DeepSeek,1,1
2,P6,DeepSeek,1,1
3,P6,DeepSeek,1,1
4,P6,DeepSeek,1,1
5,P6,DeepSeek,1,1
6,P6,DeepSeek,0,0
7,P6,DeepSeek,0,0
8,P6,DeepSeek,0,0
9,P6,DeepSeek,0,0
10,P6,DeepSeek,0,0
11,P6,DeepSeek,1,1
12,P6,DeepSeek,1,1
13,P6,DeepSeek,1,1
14,P6,DeepSeek,1,1
15,P6,DeepSeek,1,1
16,P6,DeepSeek,0,0
17,P6,DeepSeek,0,0
18,P6,DeepSeek,0,1
19,P6,DeepSeek,0,1
20,P6,DeepSeek,0,0
21,P6,DeepSeek,1,1
22,P6,DeepSeek,1,1
23,P6,DeepSeek,1,1
24,P6,DeepSeek,1,1
25,P6,DeepSeek,1,1
26,P6,DeepSeek,0,0
27,P6,DeepSeek,0,1
28,P6,DeepSeek,0,1
29,P6,DeepSeek,0,1
30,P6,DeepSeek,0,0
