Case_No,Prompt,LLM,Ground Truth,Prediction
1,P1,GPT-4o,1,1
2,P1,GPT-4o,1,1
3,P1,GPT-4o,1,1
4,P1,GPT-4o,1,1
5,P1,GPT-4o,1,1
6,P1,GPT-4o,1,1
7,P1,GPT-4o,1,1
8,P1,GPT-4o,0,0
9,P1,GPT-4o,0,0
10,P1,GPT-4o,0,0
1,P1,Deepseek,1,1
2,P1,Deepseek,1,1
3,P1,Deepseek,1,1
4,P1,Deepseek,1,1
5,P1,Deepseek,1,1
6,P1,Deepseek,1,1
7,P1,Deepseek,1,1
8,P1,Deepseek,0,0
9,P1,Deepseek,0,1
10,P1,Deepseek,0,0
1,P4,GPT-4o,1,1
2,P4,GPT-4o,1,1
3,P4,GPT-4o,1,1
4,P4,GPT-4o,1,1
5,P4,GPT-4o,1,1
6,P4,GPT-4o,1,1
7,P4,GPT-4o,1,1
8,P4,GPT-4o,0,0
9,P4,GPT-4o,0,1
10,P4,GPT-4o,0,0
1,P4,Deepseek,1,1
2,P4,Deepseek,1,1
3,P4,Deepseek,1,1
4,P4,Deepseek,1,1
5,P4,Deepseek,1,1
6,P4,Deepseek,1,1
7,P4,Deepseek,1,1
8,P4,Deepseek,0,0
9,P4,Deepseek,0,1
10,P4,Deepseek,0,0
1,P5,GPT-4o,1,1
2,P5,GPT-4o,1,1
3,P5,GPT-4o,1,1
4,P5,GPT-4o,1,1
5,P5,GPT-4o,1,1
6,P5,GPT-4o,1,1
7,P5,GPT-4o,1,1
8,P5,GPT-4o,0,0
9,P5,GPT-4o,0,1
10,P5,GPT-4o,0,0
1,P5,Deepseek,1,1
2,P5,Deepseek,1,1
3,P5,Deepseek,1,1
4,P5,Deepseek,1,1
5,P5,Deepseek,1,1
6,P5,Deepseek,1,1
7,P5,Deepseek,1,1
8,P5,Deepseek,0,0
9,P5,Deepseek,0,0
10,P5,Deepseek,0,0
1,P6,GPT-4o,1,1
2,P6,GPT-4o,1,1
3,P6,GPT-4o,1,1
4,P6,GPT-4o,1,1
5,P6,GPT-4o,1,1
6,P6,GPT-4o,1,1
7,P6,GPT-4o,1,1
8,P6,GPT-4o,0,0
9,P6,GPT-4o,0,1
10,P6,GPT-4o,0,0
1,P6,Deepseek,1,1
2,P6,Deepseek,1,1
3,P6,Deepseek,1,1
4,P6,Deepseek,1,1
5,P6,Deepseek,1,1
6,P6,Deepseek,1,1
7,P6,Deepseek,1,1
8,P6,Deepseek,0,0
9,P6,Deepseek,0,1
10,P6,Deepseek,0,0
