Case_No;Drug_Name;Current_Indication;Repurposed_Indication;Shared_Pathway;Viability;Reference_ID;Known_Status
1;Telmisartan ;Diabetes Mellitus;Hypertensive disease;WP5133;Viable;R1;Known
2;Ezetimibe;Hyperlipidemia;Familial hypercholesterolemia;WP5109;Viable;R2;Known
3;Minocycline;Alzheimer’s disease;Parkinson’s disease;WP5180;Viable;R3;Known
4;Perindopril;Diabetes Mellitus;Hypertensive disease;WP5133;Viable;R4;Known
5;Verapamil;Hypertensive disease;Diabetes Mellitus;WP5133;Viable;R5;New
6;Ephedrine;Obesity;Atherosclerosis;WP5181;Non-viable;R6;New
7;Folic acid;Hemolytic Anemia;gamma-Glutamyltransferase deficiency;WP4518;Non-viable;R7;New
8;Niacin;Diabetes mellitus;Hyperglycemia;WP1584;Non-viable;R8;New
9;Aspirin;Parkinson disease;Major depression single episode;WP2355;Non-viable;R9;New
10;Indomethacin;Alzheimer’s disease;Schizofrenia;WP4222;Non-viable;R10;New
11;Ramipril ;Diabetes Mellitus;Hypertensive disease;WP5133;Viable;R11;Known
12;Nortriptyline;Huntington disease;Attention Deficit Disorder;WP4222;Viable;R12;Known
13;Tolcapone;Alzheimer’s disease;Parkinson’s disease;WP2355;Viable;R13;Known
14;Clozapine;Lewy Body Disease;Parkinson’s disease;WP5180;Viable;R14;Known
15;Quetiapine;Parkinson disease;Schizofrenia;WP4222;Viable;R15;Known
16;Propanolol;Hypertensive disease;Diabetes Mellitus;WP5133;Non-viable;R16;New
17;Paclitaxel;Atherosclerosis;Obesity;WP1584;Non-viable;R17;New
18;Mirtazapine;Parkinson disease;Gilles de la Tourette syndrome;WP4222;Non-viable;R18;New
19;Rosiglitazone;Type 2 Familial Partial Lipodystrophy;Secondary Myocardial Diseases;WP4222;Non-viable;R19;New
20;Estradiol;nervous system disorder;Malignant Neoplasms;WP2870;Non-viable;R20, R21;New
21;Flurbiprofen;Malignant neoplasm of prostate;Prostatic Neoplasms;WP3982;Viable;R22;Known
22;Sirolimus;Parkinson Disease;Alzheimer’s disease;WP4222;Viable;R23;New
23;Pioglitazone;Parkinson Disease;Huntington disease;WP4222;Viable;R24;New
24;Pravastatin;Familial Hypercholesterolemia;Hyperlipidemia;WP5105;Viable;R25;Known
25;Decitabine;Malignant Neoplasms;Multiple Sclerosis;WP673;Viable;R26;New
26;Clioquinol;Alzheimer’s disease;Anorexia Nervosa;WP2355;Non-viable;R27;New
27;Benzoic Acid;Carbamoyl-Phosphate Synthase I Deficiency Disease;Argininosuccinic Aciduria;WP4583;Non-viable;R28;New
28;Canrenoate;Hypertensive disease;Diabetes Mellitus;WP5133;Non-viable;R29;New
29;Melatonin;Colitis;Chron’s disease;WP5198;Non-viable;R30, R31;New
30;Gabapentin;Parkinson Disease;Down Syndrome;WP5180;Non-viable;R32;New
